18
54,0,B,2,0,2,2,X,0
15,0,B,6,2,8,7,X,1
23,1,B,3,0,3,4,X,0
67,1,B,4,3,7,6,X,1
70,2,B,5,0,5,7,X,0
2,2,B,6,5,11,10,X,1
30,3,B,5,0,5,9,X,0
55,3,B,5,5,10,11,X,0
3,0,B,5,8,13,13,X,0
41,1,B,2,7,9,11,X,0
51,1,B,3,9,12,12,X,0
58,1,B,4,12,16,16,X,0
75,0,B,4,13,17,18,X,0
90,2,B,2,11,13,16,X,0
60,1,B,6,16,22,22,X,0
94,2,B,6,13,19,22,X,0
82,0,B,3,17,20,21,X,0
74,0,B,4,20,24,24,X,0
83,2,B,5,19,24,25,X,0
17,4,D,5,0,5,5,X,0
16,5,D,6,0,6,7,X,0
88,6,D,5,0,5,6,X,0
33,7,D,2,0,2,4,X,0
65,7,D,5,2,7,8,X,0
87,4,D,4,5,9,9,X,0
68,5,D,6,6,12,14,X,0
50,4,D,5,9,14,15,X,0
7,6,D,5,5,10,16,X,0
27,5,D,6,12,18,19,X,0
89,4,D,3,14,17,17,X,0
49,6,D,2,10,12,17,X,0
85,6,D,2,12,14,17,X,0
79,6,D,6,14,20,22,X,0
96,4,D,3,17,20,21,X,0
28,4,D,3,20,23,23,X,0
44,5,D,3,18,21,25,X,0
24,8,E,3,0,3,3,X,0
5,9,E,2,0,2,3,X,0
45,9,E,4,2,6,5,X,1
8,8,E,5,3,8,10,X,0
22,9,E,6,6,12,11,X,1
40,10,E,2,0,2,8,X,0
91,10,E,3,2,5,9,X,0
29,8,E,2,8,10,10,X,0
1,8,E,2,10,12,12,X,0
32,10,E,3,5,8,14,X,0
31,8,E,5,12,17,17,X,0
36,9,E,5,12,17,17,X,0
34,10,E,2,8,10,16,X,0
46,10,E,6,10,16,20,X,0
19,10,E,3,16,19,19,X,0
39,8,E,5,17,22,25,X,0
53,11,A,3,0,3,4,X,0
4,11,A,3,3,6,8,X,0
71,11,A,2,6,8,7,X,1
25,11,A,4,8,12,12,X,0
20,7,A,3,9,12,12,O,0
63,7,A,6,12,18,19,X,0
57,11,A,5,12,17,21,X,0
69,7,A,3,18,21,23,X,0
14,7,A,4,21,25,25,X,0
86,11,A,3,17,20,24,X,0
21,12,F,6,0,6,10,X,0
99,12,F,2,6,8,9,X,0
56,12,F,3,8,11,11,X,0
78,13,F,4,0,4,13,X,0
0,12,F,6,11,17,21,X,0
10,12,F,3,17,20,20,X,0
48,12,F,2,20,22,22,X,0
59,13,F,3,4,7,24,X,0
92,14,C,3,0,3,5,X,0
61,14,C,6,3,9,9,X,0
9,14,C,4,9,13,13,X,0
80,13,C,3,9,12,12,O,0
64,13,C,3,12,15,14,X,1
73,14,C,4,13,17,16,X,1
77,13,C,2,15,17,22,X,0
12,15,J,4,0,4,7,X,0
47,15,J,4,4,8,15,X,0
6,15,J,3,8,11,16,X,0
42,15,J,6,11,17,23,X,0
18,15,J,6,17,23,25,X,0
13,16,M,3,0,3,3,X,0
11,16,M,6,3,9,18,X,0
97,16,M,5,9,14,21,X,0
38,16,M,5,14,19,24,X,0
93,16,M,4,19,23,25,X,0
35,17,I,2,0,2,2,X,0
76,17,I,3,2,5,4,X,1
66,17,I,2,5,7,8,X,0
26,17,I,2,7,9,12,X,0
81,17,I,5,9,14,15,X,0
95,17,I,5,14,19,20,X,0
62,3,K,5,12,17,16,O,1
84,3,K,5,17,22,23,X,0
72,17,L,6,21,27,10,O,6
37,17,L,4,27,31,20,X,4
43,17,G,2,33,35,4,O,2
52,17,G,6,35,41,19,X,6
98,14,H,2,19,21,23,O,0
