E,5,18
F,6,21
D,5,23
C,4,23
B,3,24
B,4,17
F,5,25
A,4,24
B,5,5
B,6,15
B,2,24
B,5,25
D,3,7
B,2,5
C,4,5
E,3,4
C,2,23
B,2,8
A,4,14
E,2,4
I,6,11
E,2,7
A,6,10
M,6,10
H,3,5
D,4,7
C,2,17
B,6,23
F,2,21
F,6,25
A,2,24
D,3,7
G,4,23
F,3,25
B,6,15
E,4,14
H,5,16
D,4,13
M,4,21
F,6,23
C,2,6
F,2,22
B,2,23
L,2,16
F,2,25
B,3,20
B,6,14
I,4,18
D,2,21
M,3,4
A,6,7
C,3,4
F,5,23
B,2,2
M,3,5
B,4,21
G,6,6
B,6,8
E,2,23
F,3,3
D,6,13
D,4,6
E,4,11
G,6,19
H,5,5
A,5,5
B,2,19
E,2,14
A,5,23
E,2,13
D,6,15
M,2,13
D,2,11
D,4,24
I,4,18
A,3,24
C,6,23
D,6,12
F,4,15
B,4,17
C,6,15
B,5,10
C,3,17
K,6,6
M,4,24
B,3,21
B,6,23
M,3,11
A,3,23
D,3,16
D,5,5
C,3,12
E,4,22
A,4,13
B,5,22
A,6,11
D,2,10
H,6,19
F,4,8
C,3,22
