J,3,4
D,4,18
A,4,21
D,5,6
D,5,24
B,4,8
A,2,3
B,5,16
D,6,14
C,2,10
D,6,6
F,4,6
H,5,20
M,5,21
J,3,16
F,3,10
L,6,21
B,5,25
B,6,22
E,6,23
A,5,10
B,6,23
B,2,23
D,3,22
A,2,18
C,5,9
C,2,19
D,2,9
B,4,12
G,6,12
J,6,23
E,6,16
A,3,15
C,2,21
D,3,20
B,2,7
E,4,25
L,6,13
D,3,4
B,2,12
D,6,17
B,4,25
A,4,24
B,5,10
J,5,7
B,2,19
C,4,5
D,6,10
C,4,12
C,6,14
A,5,19
A,5,14
B,2,19
E,6,12
L,5,12
K,6,21
B,5,21
H,6,15
C,5,11
H,4,7
C,5,16
E,4,7
C,4,18
L,4,9
C,3,9
D,2,4
B,6,19
D,3,6
C,6,6
B,2,24
D,5,14
I,2,17
E,2,20
A,3,10
B,2,16
D,6,11
A,5,15
A,6,25
E,2,18
A,2,25
B,6,6
B,5,18
I,6,20
K,5,22
D,2,11
F,4,18
K,6,23
B,5,6
F,4,16
G,6,8
F,2,10
B,4,16
I,2,9
B,5,20
B,6,16
E,6,9
A,2,6
L,5,20
A,4,19
F,6,12
