F,6,21
E,2,12
B,6,10
B,5,13
A,3,8
E,2,3
J,3,16
D,5,16
E,5,10
C,4,13
F,3,20
M,6,18
J,4,7
M,3,3
A,4,25
B,6,7
D,6,7
D,5,5
J,6,25
E,3,19
A,3,12
F,6,10
E,6,11
B,3,4
E,3,3
A,4,12
I,2,12
D,6,19
D,3,23
E,2,10
B,5,9
E,5,17
E,3,14
D,2,4
E,2,16
I,2,2
E,5,17
L,4,20
M,5,24
E,5,25
E,2,8
B,2,11
J,6,23
G,2,4
D,3,25
E,4,5
E,6,20
J,4,15
F,2,22
D,2,17
D,5,15
B,3,12
G,6,19
A,3,4
B,2,2
B,5,11
F,3,11
A,5,21
B,4,16
F,3,24
B,6,22
C,6,9
K,5,16
A,6,19
C,3,14
D,5,8
I,2,8
B,4,6
D,6,14
A,3,23
B,5,7
A,2,7
L,6,10
C,4,16
B,4,24
B,4,18
I,3,4
C,2,22
F,4,13
D,6,22
C,3,12
I,5,15
B,3,21
B,5,25
K,5,23
D,2,17
A,3,24
D,4,9
D,5,6
D,3,17
B,2,16
E,3,9
C,3,5
M,4,25
B,6,22
I,5,20
D,3,21
M,5,21
H,2,23
F,2,9
