D,3,15
M,4,15
B,6,8
M,6,23
I,2,12
B,4,7
D,6,17
I,4,10
C,6,7
B,2,25
F,2,6
L,4,17
D,4,6
M,2,12
C,2,21
C,6,19
F,5,25
E,3,12
M,5,25
K,3,24
E,3,22
K,6,20
D,6,9
B,5,19
C,5,5
C,6,7
F,2,24
B,4,19
D,5,7
A,4,5
D,4,14
D,4,17
B,3,15
D,6,24
D,4,13
B,4,9
E,2,18
D,3,7
C,6,17
D,4,16
L,3,17
B,4,20
E,4,21
F,5,5
B,6,21
D,5,19
B,5,7
D,4,11
A,3,11
C,2,16
D,4,24
F,4,19
A,4,10
B,5,23
F,3,15
A,5,9
G,4,20
F,6,11
C,6,25
B,4,13
D,3,12
A,3,9
I,4,20
E,4,18
D,2,24
D,2,21
D,6,13
C,3,25
G,5,8
B,5,17
C,3,3
B,4,5
K,5,16
B,6,18
B,3,4
B,6,10
B,6,12
E,2,18
B,6,10
G,2,12
B,3,13
D,4,11
J,4,18
B,4,4
C,4,13
A,5,10
D,4,12
C,4,19
E,6,16
C,6,19
E,6,10
A,5,6
A,3,14
C,3,14
E,6,25
B,3,25
B,2,18
A,3,19
F,6,23
I,3,6
