C,3,3
D,2,23
E,2,19
A,2,24
B,3,19
B,3,22
B,4,14
B,4,6
D,2,13
D,3,7
E,2,12
B,2,17
D,4,25
I,4,24
D,6,10
F,5,11
K,4,6
M,5,6
B,4,17
B,3,16
L,4,18
B,4,7
C,4,15
M,6,20
B,6,22
A,2,11
B,3,23
A,6,18
F,4,11
D,3,15
C,3,14
B,5,24
D,6,13
B,4,17
F,4,10
B,5,9
B,2,14
D,4,12
F,4,23
A,3,13
D,4,16
A,2,13
J,6,25
A,6,23
M,6,20
B,6,21
I,3,24
B,2,9
E,4,7
C,2,20
F,5,6
E,3,10
B,4,11
D,4,18
M,2,7
D,2,17
B,2,14
D,3,11
D,3,15
E,2,17
F,3,22
C,4,22
D,3,21
K,6,13
C,3,21
E,4,4
L,6,6
C,3,20
B,3,5
H,3,21
B,3,6
C,5,12
M,2,5
A,5,5
B,4,18
B,3,18
F,5,5
A,5,10
J,5,10
B,6,16
K,4,7
L,6,13
E,6,13
B,5,10
I,6,15
G,2,9
E,6,8
E,5,5
L,3,22
D,2,11
C,5,6
F,6,15
A,5,15
K,2,17
E,2,4
A,3,17
E,5,7
G,6,10
A,3,22
B,6,6
