F,3,14
I,4,19
G,6,10
C,4,12
A,4,24
D,6,22
C,3,5
B,4,23
A,2,24
B,4,5
E,5,25
E,3,15
I,6,15
C,2,10
B,5,15
D,3,3
L,4,10
E,4,6
K,5,18
D,5,22
A,4,16
C,2,3
I,5,21
D,4,25
G,2,25
D,5,21
F,2,21
D,2,10
F,3,5
B,5,15
B,2,12
D,2,4
B,5,21
L,2,11
M,2,13
C,5,5
A,2,17
B,3,8
F,6,20
D,6,10
A,3,20
B,3,18
J,6,25
B,3,23
F,5,23
B,2,15
D,3,23
A,2,5
C,4,15
B,4,18
B,4,9
E,2,8
B,5,13
M,4,25
D,2,20
B,3,22
D,3,12
D,4,14
H,4,14
B,5,6
J,5,23
A,5,20
D,6,24
L,6,25
F,6,21
D,2,5
G,4,9
I,5,18
A,6,10
A,5,24
D,5,12
B,5,20
B,5,13
B,5,25
B,3,10
H,3,17
F,3,6
A,2,6
C,5,6
I,6,22
D,3,17
E,6,21
F,2,17
M,6,12
C,4,9
C,4,21
E,6,16
A,3,17
F,5,24
F,6,11
A,6,16
A,6,11
B,4,19
I,3,23
H,4,5
B,2,3
B,2,18
F,3,15
L,3,12
G,5,15
