D,3,19
B,2,10
I,2,25
F,6,8
C,3,15
B,5,13
B,6,20
C,5,12
A,6,24
G,2,23
B,4,20
K,3,23
C,4,23
L,5,6
B,6,23
B,3,16
B,6,25
F,4,4
B,2,16
A,3,12
D,6,6
E,6,6
B,2,21
D,2,20
A,2,3
B,3,19
E,5,14
H,5,24
D,2,19
D,5,20
E,5,24
D,6,15
B,5,20
B,5,15
C,5,16
C,4,8
E,6,22
B,2,13
A,3,16
F,5,7
A,4,24
B,3,9
B,5,7
D,2,11
H,6,7
F,4,21
J,5,9
B,3,11
L,6,14
E,4,8
B,5,7
D,6,12
E,5,22
M,6,6
H,6,10
B,5,25
B,2,13
K,6,9
F,6,12
F,2,16
C,4,24
F,6,17
B,6,6
M,4,4
F,5,6
B,5,20
C,5,19
B,3,19
B,6,19
B,6,23
D,2,16
B,3,19
E,5,12
D,6,25
E,6,22
B,2,3
B,5,9
F,4,12
C,2,6
A,3,6
E,6,10
D,5,11
E,6,17
C,2,14
E,6,22
K,5,18
B,4,17
A,4,25
B,6,19
B,2,7
F,4,9
M,5,25
E,2,16
B,3,5
F,4,14
D,4,7
F,2,8
C,6,17
H,4,22
B,5,10
