18
8,0,B,6,0,6,6,X,0
15,1,B,4,0,4,5,X,0
53,2,B,2,0,2,3,X,0
92,2,B,4,2,6,5,X,1
49,3,B,5,0,5,7,X,0
96,4,B,6,0,6,8,X,0
30,1,B,3,4,7,6,X,1
1,0,B,6,6,12,12,X,0
18,2,B,5,6,11,11,X,0
94,1,B,3,7,10,10,X,0
2,1,B,5,10,15,16,X,0
19,0,B,2,12,14,15,X,0
45,0,B,6,14,20,21,X,0
51,1,B,3,15,18,18,X,0
58,2,B,5,11,16,20,X,0
63,2,B,4,16,20,21,X,0
7,1,B,5,18,23,23,X,0
34,3,B,3,5,8,21,X,0
47,3,B,2,8,10,20,X,0
84,3,B,4,10,14,22,X,0
91,3,B,3,14,17,21,X,0
98,3,B,6,17,23,24,X,0
44,0,B,4,20,24,24,X,0
38,2,B,2,20,22,23,X,0
40,4,B,3,6,9,24,X,0
0,5,D,4,0,4,4,X,0
12,5,D,4,4,8,7,X,1
77,6,D,4,0,4,7,X,0
62,6,D,3,4,7,8,X,0
79,6,D,4,7,11,11,X,0
88,5,D,5,8,13,13,X,0
39,7,D,4,0,4,13,X,0
74,7,D,2,4,6,12,X,0
90,5,D,2,13,15,15,X,0
3,6,D,5,11,16,19,X,0
42,7,D,5,6,11,19,X,0
27,5,D,4,15,19,21,X,0
46,6,D,5,16,21,23,X,0
85,7,D,4,11,15,22,X,0
93,5,D,4,19,23,23,X,0
52,6,D,3,21,24,24,X,0
59,8,E,3,0,3,4,X,0
9,8,E,6,3,9,8,X,1
11,9,E,2,0,2,6,X,0
24,9,E,3,2,5,9,X,0
14,8,E,6,9,15,17,X,0
73,9,E,5,5,10,16,X,0
17,9,E,2,10,12,15,X,0
26,9,E,3,12,15,16,X,0
48,4,E,6,11,17,19,O,0
16,8,E,6,15,21,21,X,0
6,9,E,3,15,18,19,X,0
80,4,E,6,17,23,22,X,1
20,9,E,4,18,22,24,X,0
5,10,A,6,0,6,6,X,0
99,11,A,5,0,5,6,X,0
28,12,A,2,0,2,4,X,0
50,12,A,4,2,6,6,X,0
37,11,A,6,5,11,11,X,0
33,10,A,4,6,10,10,X,0
22,12,A,2,6,8,10,X,0
86,10,A,5,10,15,17,X,0
25,11,A,3,11,14,16,X,0
56,10,A,4,15,19,20,X,0
72,10,A,4,19,23,23,X,0
66,11,A,2,14,16,24,X,0
13,13,C,4,0,4,5,X,0
35,14,C,3,0,3,5,X,0
57,13,C,2,4,6,6,X,0
55,14,C,2,3,5,7,X,0
76,14,C,5,5,10,10,X,0
87,13,C,6,6,12,12,X,0
41,15,C,2,0,2,9,X,0
60,15,C,6,2,8,13,X,0
21,14,C,3,10,13,14,X,0
71,13,C,6,12,18,18,X,0
29,14,C,2,13,15,15,X,0
32,14,C,2,15,17,17,X,0
68,16,F,6,0,6,6,X,0
65,17,F,6,0,6,9,X,0
75,16,F,5,6,11,8,X,3
23,17,F,4,6,10,8,X,2
31,17,F,3,10,13,11,X,2
61,16,F,3,11,14,15,X,0
97,17,F,6,13,19,19,X,0
64,16,F,6,14,20,20,X,0
95,16,F,3,20,23,23,X,0
54,17,H,2,21,23,7,O,2
78,17,H,3,23,26,10,X,3
89,15,H,6,10,16,15,O,1
83,15,H,6,16,22,19,X,3
67,17,G,4,28,32,5,O,4
36,12,G,6,10,16,13,O,3
82,12,G,6,16,22,16,X,6
10,17,I,2,34,36,4,O,2
70,17,I,2,36,38,4,X,2
43,17,I,5,38,43,16,X,5
4,17,M,2,45,47,2,O,2
81,17,M,4,47,51,9,X,4
69,17,L,5,53,58,13,O,5
