E,5,24
B,2,14
E,5,7
D,6,21
F,3,14
G,3,22
A,4,18
C,6,20
B,2,7
D,5,15
B,3,25
G,6,6
C,3,21
I,6,17
C,3,22
G,6,22
L,4,9
A,3,12
F,5,10
B,5,18
C,4,19
B,3,5
D,3,10
A,4,6
F,4,5
B,5,25
D,3,17
F,3,11
J,5,5
B,6,17
B,6,10
K,2,11
A,2,23
A,6,10
B,5,14
B,3,24
D,5,10
E,3,10
D,5,23
F,2,2
B,3,22
E,4,20
A,3,9
A,4,10
A,2,23
D,4,19
D,6,12
D,4,4
L,5,16
B,6,20
A,4,20
A,2,4
F,2,3
I,5,5
C,6,18
D,5,9
F,6,12
E,4,5
F,6,18
B,5,18
L,2,12
C,4,14
B,4,7
M,5,12
D,6,21
F,4,18
D,6,18
B,6,21
G,2,13
I,4,18
B,4,6
C,2,23
E,4,11
B,3,3
B,6,9
B,5,22
B,3,17
B,3,17
A,5,13
L,4,12
B,5,6
D,2,12
G,4,15
C,6,25
D,2,14
C,2,8
B,3,11
D,5,24
I,6,8
E,4,11
E,3,8
B,3,3
D,3,17
B,2,17
D,5,13
B,5,18
B,5,10
E,2,10
B,4,10
D,2,11
