D,4,4
B,6,12
B,5,16
D,5,19
M,2,2
A,6,6
E,3,19
B,5,23
B,6,6
E,6,8
I,2,4
E,2,6
D,4,7
C,4,5
E,6,17
B,4,5
E,6,21
E,2,15
B,5,11
B,2,15
E,4,24
C,3,14
A,2,10
F,4,8
E,3,9
A,3,16
E,3,16
D,4,21
A,2,4
C,2,15
B,3,6
F,3,11
C,2,17
A,4,10
B,3,21
C,3,5
G,6,13
A,6,11
B,2,23
D,4,13
B,3,24
C,2,9
D,5,19
I,5,16
B,4,24
B,6,21
D,5,23
B,2,20
E,6,19
B,5,7
A,4,6
B,3,18
D,3,24
B,2,3
H,2,7
C,2,7
A,4,20
C,2,6
B,5,20
E,3,4
C,6,13
F,3,15
D,3,8
B,4,21
F,6,20
F,6,9
A,2,24
G,4,5
F,6,6
L,5,13
I,2,4
C,6,18
A,4,23
E,5,16
D,2,12
F,5,8
C,5,10
D,4,7
H,3,10
D,4,11
E,6,22
M,4,9
G,6,16
H,6,19
B,4,22
D,4,22
A,5,17
C,6,12
D,5,13
H,6,15
D,2,15
B,3,21
B,4,5
D,4,23
B,3,10
F,3,23
B,6,8
F,6,19
B,6,24
A,5,6
